dataset,cv,k_label,k,dist,evaluator,n_folds,fold,accuracy,precision,recall,f1
dis,1,n,3339,euclidean,majority,10,3,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,1,n,3339,euclidean,majority,10,4,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,1,n,3339,euclidean,majority,10,5,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,1,n,3339,euclidean,majority,10,6,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,1,n,3339,euclidean,majority,10,7,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,1,n,3339,euclidean,majority,10,8,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,1,n,3339,euclidean,majority,10,9,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,1,n,3339,euclidean,averaged_inverse_square,10,0,0.6129032258064516,1.0,0.6065573770491803,0.7551020408163265
dis,1,n,3339,euclidean,averaged_inverse_square,10,1,0.5444743935309974,1.0,0.5382513661202186,0.6998223801065719
dis,1,n,3339,euclidean,averaged_inverse_square,10,2,0.5148247978436657,0.9946808510638298,0.5109289617486339,0.6750902527075812
dis,1,n,3339,euclidean,averaged_inverse_square,10,3,0.5579514824797843,0.9950738916256158,0.5534246575342465,0.7112676056338026
dis,1,n,3339,euclidean,averaged_inverse_square,10,4,0.5202156334231806,1.0,0.5123287671232877,0.677536231884058
dis,1,n,3339,euclidean,averaged_inverse_square,10,5,0.5336927223719676,1.0,0.5260273972602739,0.689407540394973
dis,1,n,3339,euclidean,averaged_inverse_square,10,6,0.568733153638814,1.0,0.5616438356164384,0.7192982456140351
dis,1,n,3339,euclidean,averaged_inverse_square,10,7,0.5175202156334232,1.0,0.5095890410958904,0.6751361161524502
dis,1,n,3339,euclidean,averaged_inverse_square,10,8,0.5714285714285714,0.9951923076923077,0.5671232876712329,0.7225130890052357
dis,1,n,3339,euclidean,averaged_inverse_square,10,9,0.5390835579514824,0.9948979591836735,0.5342465753424658,0.6951871657754011
dis,2,5,5,euclidean,majority,10,0,0.9838709677419355,0.9838709677419355,1.0,0.991869918699187
dis,2,5,5,euclidean,majority,10,1,0.9838274932614556,0.9864864864864865,0.9972677595628415,0.9918478260869565
dis,2,5,5,euclidean,majority,10,2,0.9865229110512129,0.9865229110512129,1.0,0.9932157394843961
dis,2,5,5,euclidean,majority,10,3,0.9865229110512129,0.9864864864864865,1.0,0.9931972789115647
dis,2,5,5,euclidean,majority,10,4,0.9811320754716981,0.9837837837837838,0.9972602739726028,0.9904761904761905
dis,2,5,5,euclidean,majority,10,5,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,2,5,5,euclidean,majority,10,6,0.9865229110512129,0.9864864864864865,1.0,0.9931972789115647
dis,2,5,5,euclidean,majority,10,7,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,2,5,5,euclidean,majority,10,8,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,2,5,5,euclidean,majority,10,9,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,2,sqrt(n),57,euclidean,majority,10,0,0.9838709677419355,0.9838709677419355,1.0,0.991869918699187
dis,2,sqrt(n),57,euclidean,majority,10,1,0.9865229110512129,0.9865229110512129,1.0,0.9932157394843961
dis,2,sqrt(n),57,euclidean,majority,10,2,0.9865229110512129,0.9865229110512129,1.0,0.9932157394843961
dis,2,sqrt(n),57,euclidean,majority,10,3,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,2,sqrt(n),57,euclidean,majority,10,4,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,2,sqrt(n),57,euclidean,majority,10,5,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,2,sqrt(n),57,euclidean,majority,10,6,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,2,sqrt(n),57,euclidean,majority,10,7,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,2,sqrt(n),57,euclidean,majority,10,8,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,2,sqrt(n),57,euclidean,majority,10,9,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,2,n,3339,euclidean,majority,10,0,0.9838709677419355,0.9838709677419355,1.0,0.991869918699187
dis,2,n,3339,euclidean,majority,10,1,0.9865229110512129,0.9865229110512129,1.0,0.9932157394843961
dis,2,n,3339,euclidean,majority,10,2,0.9865229110512129,0.9865229110512129,1.0,0.9932157394843961
dis,2,n,3339,euclidean,majority,10,3,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,2,n,3339,euclidean,majority,10,4,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,2,n,3339,euclidean,majority,10,5,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,2,n,3339,euclidean,majority,10,6,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,2,n,3339,euclidean,majority,10,7,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,2,n,3339,euclidean,majority,10,8,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,2,n,3339,euclidean,majority,10,9,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,2,n,3339,euclidean,averaged_inverse_square,10,0,0.5967741935483871,1.0,0.5901639344262295,0.7422680412371134
dis,2,n,3339,euclidean,averaged_inverse_square,10,1,0.5660377358490566,1.0,0.5601092896174863,0.7180385288966725
dis,2,n,3339,euclidean,averaged_inverse_square,10,2,0.5336927223719676,0.9898477157360406,0.5327868852459017,0.6927175843694493
dis,2,n,3339,euclidean,averaged_inverse_square,10,3,0.5148247978436657,1.0,0.5068493150684932,0.6727272727272727
dis,2,n,3339,euclidean,averaged_inverse_square,10,4,0.5714285714285714,0.9951923076923077,0.5671232876712329,0.7225130890052357
dis,2,n,3339,euclidean,averaged_inverse_square,10,5,0.5336927223719676,1.0,0.5260273972602739,0.689407540394973
dis,2,n,3339,euclidean,averaged_inverse_square,10,6,0.5633423180592992,1.0,0.5561643835616439,0.7147887323943662
dis,2,n,3339,euclidean,averaged_inverse_square,10,7,0.5471698113207547,0.9852216748768473,0.547945205479452,0.704225352112676
dis,2,n,3339,euclidean,averaged_inverse_square,10,8,0.5121293800539084,1.0,0.5041095890410959,0.6703096539162112
dis,2,n,3339,euclidean,averaged_inverse_square,10,9,0.5633423180592992,0.9951219512195122,0.5589041095890411,0.7157894736842106
dis,3,5,5,euclidean,majority,10,0,0.9811827956989247,0.9838274932614556,0.9972677595628415,0.9905020352781547
dis,3,5,5,euclidean,majority,10,1,0.9838274932614556,0.9864864864864865,0.9972677595628415,0.9918478260869565
dis,3,5,5,euclidean,majority,10,2,0.9865229110512129,0.9865229110512129,1.0,0.9932157394843961
dis,3,5,5,euclidean,majority,10,3,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,3,5,5,euclidean,majority,10,4,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,3,5,5,euclidean,majority,10,5,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,3,5,5,euclidean,majority,10,6,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,3,5,5,euclidean,majority,10,7,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,3,5,5,euclidean,majority,10,8,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,3,5,5,euclidean,majority,10,9,0.9865229110512129,0.9864864864864865,1.0,0.9931972789115647
dis,3,sqrt(n),57,euclidean,majority,10,0,0.9838709677419355,0.9838709677419355,1.0,0.991869918699187
dis,3,sqrt(n),57,euclidean,majority,10,1,0.9865229110512129,0.9865229110512129,1.0,0.9932157394843961
dis,3,sqrt(n),57,euclidean,majority,10,2,0.9865229110512129,0.9865229110512129,1.0,0.9932157394843961
dis,3,sqrt(n),57,euclidean,majority,10,3,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,3,sqrt(n),57,euclidean,majority,10,4,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,3,sqrt(n),57,euclidean,majority,10,5,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,3,sqrt(n),57,euclidean,majority,10,6,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,3,sqrt(n),57,euclidean,majority,10,7,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,3,sqrt(n),57,euclidean,majority,10,8,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,3,sqrt(n),57,euclidean,majority,10,9,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,3,n,3339,euclidean,majority,10,0,0.9838709677419355,0.9838709677419355,1.0,0.991869918699187
dis,3,n,3339,euclidean,majority,10,1,0.9865229110512129,0.9865229110512129,1.0,0.9932157394843961
dis,3,n,3339,euclidean,majority,10,2,0.9865229110512129,0.9865229110512129,1.0,0.9932157394843961
dis,3,n,3339,euclidean,majority,10,3,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,3,n,3339,euclidean,majority,10,4,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,3,n,3339,euclidean,majority,10,5,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,3,n,3339,euclidean,majority,10,6,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,3,n,3339,euclidean,majority,10,7,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,3,n,3339,euclidean,majority,10,8,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
