dataset,cv,k_label,k,dist,evaluator,n_folds,fold,accuracy,precision,recall,f1
spambase,2,sqrt(n),61,euclidean,majority,10,2,0.836104513064133,0.8613138686131386,0.7023809523809523,0.7737704918032786
spambase,2,sqrt(n),61,euclidean,majority,10,3,0.836104513064133,0.8666666666666667,0.6964285714285714,0.7722772277227722
spambase,2,sqrt(n),61,euclidean,majority,10,4,0.9026128266033254,0.9205298013245033,0.8273809523809523,0.8714733542319748
spambase,2,sqrt(n),61,euclidean,majority,10,5,0.8242280285035629,0.8560606060606061,0.6726190476190477,0.7533333333333333
spambase,2,sqrt(n),61,euclidean,majority,10,6,0.8717339667458432,0.9071428571428571,0.7559523809523809,0.8246753246753247
spambase,2,sqrt(n),61,euclidean,majority,10,7,0.828978622327791,0.8692307692307693,0.6726190476190477,0.7583892617449665
spambase,2,sqrt(n),61,euclidean,majority,10,8,0.8574821852731591,0.8857142857142857,0.7380952380952381,0.8051948051948051
spambase,2,sqrt(n),61,euclidean,majority,10,9,0.9026128266033254,0.9375,0.8083832335329342,0.8681672025723473
spambase,2,n,3789,euclidean,majority,10,0,0.6009501187648456,0.0,0.0,0.0
spambase,2,n,3789,euclidean,majority,10,1,0.6009501187648456,0.0,0.0,0.0
spambase,2,n,3789,euclidean,majority,10,2,0.6009501187648456,0.0,0.0,0.0
spambase,2,n,3789,euclidean,majority,10,3,0.6009501187648456,0.0,0.0,0.0
spambase,2,n,3789,euclidean,majority,10,4,0.6009501187648456,0.0,0.0,0.0
spambase,2,n,3789,euclidean,majority,10,5,0.6009501187648456,0.0,0.0,0.0
spambase,2,n,3789,euclidean,majority,10,6,0.6009501187648456,0.0,0.0,0.0
spambase,2,n,3789,euclidean,majority,10,7,0.6009501187648456,0.0,0.0,0.0
spambase,2,n,3789,euclidean,majority,10,8,0.6009501187648456,0.0,0.0,0.0
spambase,2,n,3789,euclidean,majority,10,9,0.6033254156769596,0.0,0.0,0.0
spambase,2,n,3789,euclidean,inverse_square,10,0,0.7363420427553444,1.0,0.3392857142857143,0.5066666666666666
spambase,2,n,3789,euclidean,inverse_square,10,1,0.7505938242280285,0.9701492537313433,0.3869047619047619,0.5531914893617021
spambase,2,n,3789,euclidean,inverse_square,10,2,0.7482185273159145,1.0,0.36904761904761907,0.5391304347826087
